acc_no,author,title,publisher_info,year,isbn,storage_loc,subject,class_no
B10647,Rajaraman (V),Computer Programming in PASCAL,"Prentice Hall of India Private Limited, New delhi",1984.0,0876923716,TLC-R-12-S-204,Programming Language,681.3.062 RAJ
B12216,Friedman,"Cryp of Shift Regi, Stre.CIP.SYS",BEL,1984.0,,TLC-R-12-S-204,Programming Language,681.3.062 BAR
B15266,Bach (MJ),The Design of the UNIX operating system,"Prentice Hall of India Private Limited, New delhi",1991.0,0876925166,TLC-R-12-S-204,Programming Language,681.3.062 BAC
B11987,Simpson (A),Advanced Techniques in dBASE III plus,"BPB publications, New Delhi",1986.0,,TLC-R-12-S-204,Programming Language,681.3.062 SIM
B18409,Mirho (CA),Communications Programming for Windows 95,"Microsoft Press,Washington",1996.0,1556156685,TLC-R-12-S-204,Programming Language,681.3.062 MIR
B12002,Dinerstein (NT),dBASE II for the Programmer A how to DO IT Book,"Scott Foresman and Company, London",1984.0,0673159566,TLC-R-12-S-204,Programming Language,681.3.062 DIN
B19823,Braude (EJ),Software Design From Programming to Architecture,"John Wiley and sons, New Jersey",2004.0,9812530193,TLC-R-12-S-204,Programming Language,681.3.062 BRA
B10638,Balagurusamy,Programing in Basic,"Tata McGraw Hill Publishing Company imited , New Delhi",1983.0,,TLC-R-12-S-204,Programming Language,681.3.062 BAL
B15419,Chein (CC),"Introduction to the Micrcomputer and its applications, Second edition","Galgotia Publication Pvt Ltd, New Delhi",1991.0,,TLC-R-12-S-204,Programming Language,681.3.062 CHE
B17133,Basandra (SK),Computer Science Question Bank (Objective Type),"Galgotia Publication Pvt Ltd, New Delhi",1995.0,,TLC-R-12-S-204,Programming Language,681.3.062 BAS
B15582,Bach (MJ),The Design of the UNIX operating system,"Prentice Hall of India Private Limited, New delhi",1991.0,0876925166,TLC-R-12-S-204,Programming Language,681.3.062 BAC
B20317,Liberty (J),Programming C#,"Shroff publishers, Mumbai",2005.0,8137669651,TLC-R-12-S-204,Programming Language,681.3.062 LIB
B11663,Douglass (BP),Applications Programming in IBM BASIC,Bruce Powel Douglass,1985.0,0801976227,TLC-R-12-S-204,Programming Language,681.3.062 DOU
B18491,Norton (P),"Peter Norton's Complete Guide to Windows 95, second edition","Techmedia, New Delhi",1997.0,8187105569,TLC-R-12-S-204,Programming Language,681.3.062 NOR
B18962,Asente (PJ),"X Window System Toolkit, The complete Guide and Specification","Digital Press , USA",1985.0,1555580513,TLC-R-12-S-204,Programming Language,681.3.062 ASE
B18113,Bhasker (J),A VHDL primer,Prentice Hall PTR,1992.0,0130965758,TLC-R-12-S-204,Programming Language,681.3.062 BHA
B10805,Pratt (W T),"Programming Languages Design and implementation, second edition","Prentice Hall of India Private Limited, New delhi",1985.0,0876923945,TLC-R-12-S-204,Programming Language,681.3.062 PRA
B16834,Nashelsky (L),IBM PC/XT: Basic Programming and Applications,"Prentice Hall of India Private Limited, New delhi",1992.0,0876925913,TLC-R-12-S-204,Programming Language,681.3.062 NAS
B16797,Radhakrishnan (DP),Computer Numerical Control machines,New Central Book Agency,1992.0,,TLC-R-12-S-204,Programming Language,681.3.062 RAD
B13186,Weinberg (GM),Psychology Computer programming,"VAN Nostrand Rheinhold company, New york",1971.0,0442292643,TLC-R-12-S-204,Programming Language,681.3.062 WEI
B14098,Lansdown (J),"Computers in Art, Design and Animation","Springer Verlag, Berlin",1989.0,0387968962,TLC-R-12-S-204,Programming Language,681.3.062 LAN
B16706,Ellis (MA),The Annotated C++ Reference Manual,"Addison wesley, Massachusetts",1990.0,0201514591,TLC-R-12-S-204,Programming Language,681.3.062 ELL
B11991,Leventhal (LA),Z80 Assembly Language Programming,"Osborne/McGraw- Hill, California",1986.0,007991286,TLC-R-12-S-204,Programming Language,681.3.062 LEV
B11435,Beckman (FS),Mathematical Foundations of Programming,"Addison wesley, Massachusetts",1980.0,020114462X,TLC-R-12-S-204,Programming Language,681.3.062 BEC
B14464,Blume (C),Programming Languages for Insutrial Robots,"Springer Verlag, Berlin",1986.0,3540163190,TLC-R-12-S-204,Programming Language,681.3.062 BLU
B17601,Ghosh (SK),HRD in the Third World Quest for Empowerment,"Vikas Publishing House, New Delhi",1996.0,8125900837,TLC-R-12-S-204,Programming Language,681.3.062 GHO
B13926,Larsen (GH),Mastering Harvard Graphics,"Tech Publications, Singapore",1989.0,9813091606,TLC-R-12-S-204,Programming Language,681.3.062 LAR
B15282,Katz (G),Teach Yourself Autocad Release 11,"Sybex Computer Books Inc, USA",1991.0,,TLC-R-12-S-204,Programming Language,681.3.062 KAT
B15279,Chellam (M),foxPro 2.0 The art of Visual Programming,"BPB publications, New Delhi",1992.0,,TLC-R-12-S-204,Programming Language,681.3.062 CHE
B15182,Simpson (A),Simpson's dBase Tips and Tricks,"BPB publications, New Delhi",1988.0,,TLC-R-12-S-204,Programming Language,681.3.062 SIM
B22685,Sundaresan V,Resource Management Techniques,"A.R Publications, Tamil nadu",1997.0,,TLC-R-12-S-204,Programming Language,681.3.062 SUN
B15825,Boone (ME),Leadership and the computer,"India Book Distributors, Mumbai",1991.0,,TLC-R-12-S-204,Programming Language,681.3.062 BOO
AUTO-00202,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B21817,James (WS),"The 8051 Microcontroller,Hardware, software and Interfacing second edition","Prentice Hall, New Jersey",1999.0,013531948X,TLC-R-13-S-205,Programming Language,681.3.062 STE
B21549,Shapiro (JR),The complete Reference Visual Basic.NET,"McGraw- Hill Education , Chennai",2002.0,9780070495111,TLC-R-13-S-205,Programming Language,681.3.062 SHA
B21852,Schwartz (E),Axure RP 6 Prototyping Essentials,"Shroff Publishers , Mumbai",2012.0,9781849691642,TLC-R-13-S-205,Programming Language,681.3.062 SCH
B16865,Williams (D),The Programmers Technical Reference,"Galgotia Publications Pvt Ltd, New Delhi",1994.0,,TLC-R-13-S-205,Programming Language,681.3.062 WIL
B14973,Campbell (M),Harvard tm Graphics made easy,"McGraw Hill, New York",1990.0,0078816165,TLC-R-13-S-205,Programming Language,681.3.062 CAM
B15707,Minasi (M),The Complete PC upgrade and Maintainance Guide,BPB publications,1992.0,,TLC-R-13-S-205,Programming Language,681.3.062 MIN
B18490,Pietrek (M),Windows 95 System Programming Secrets,"Comdex , New Delhi",1995.0,,TLC-R-13-S-205,Programming Language,681.3.062 PIE
B15584,Tondo (CL),The C Answer Book,"Prentice Hall, New Jersey",1991.0,0876925794,TLC-R-13-S-205,Programming Language,681.3.062 TON
B18398,Schatt (S),Understanding ATM,"McGraw Hill, New York",1996.0,0070576793,TLC-R-13-S-205,Programming Language,681.3.062 SCH
B20221,Mazidi (MA),The 8051 Microcontroller and Embedded systems,"Pearson Education, New Jersey",2000.0,8177581554,TLC-R-13-S-205,Programming Language,681.3.062 MAZ
B11381,Sanders (DH),Computers Today,"McGraw Hill, New York",1985.0,0070547077,TLC-R-13-S-205,Programming Language,681.3.062 SAN
B21938,Eckel (B),"Thinking in C++ , Vol 2 Practical Programming","Pearson Education Inc, New Delhi",2004.0,9788131711729,TLC-R-13-S-205,Programming Language,681.3.062 ECK
B21969,Langsam (Y),Data Structures using C and C++,"PHI learning Private Limited, Delhi",2013.0,9788120311770,TLC-R-13-S-205,Programming Language,681.3.062 LAN
B19277,Simon (RJ),Windows NT Win32 API Super Bible,"Techmedia, New Delhi",1997.0,818710578X,TLC-R-13-S-205,Programming Language,681.3.062 SIM
B17617,Govindarajalu (B),IBM PC and clones,"Tata McGraw- Hill Publishing Company, New Delhi",1991.0,0074601369,TLC-R-13-S-205,Programming Language,681.3.062 GOV
B20510,Shaprio (JR),Visual Basic.NET,"Tata McGraw- Hill Publishing Company, New Delhi",2002.0,007495114,TLC-R-13-S-205,Programming Language,681.3.062 SHA
B15826,Dlug (P),Mastering PC tools Deluxe,"Windcrest, USA",1990.0,,TLC-R-13-S-205,Programming Language,681.3.062 DLU
B19357,Schildt (H),C++ The complete reference fourth edition,"Tata McGraw- Hill Publishing Company, New Delhi",2003.0,9780070532465,TLC-R-13-S-205,Programming Language,681.3.062 SCH
B18813,IDG,Master Windows 95 Visually,"Comdex , New Delhi",1998.0,,TLC-R-13-S-205,Programming Language,681.3.062 IDG
B18279,Oney (W),Systems Programming for Windows 95,"Microsoft Press,London",1996.0,,TLC-R-13-S-205,Programming Language,681.3.062 ONE
B21840,Rauber (T),Parallel Programming,"Springer Verlag, New york",,9783642048173,TLC-R-13-S-205,Programming Language,681.3.062 RAU
B18799,Gralla (P),How the Internet Works,"Pearson India Inc, New Delhi",2012.0,9788131788158,TLC-R-13-S-205,Programming Language,681.3.062 GRA
B00003,Cassel (D),dBASE II Simplified for the IBM perosnal computer,"Prentice Hall, New Jersey",1985.0,0131959344,TLC-R-13-S-205,Programming Language,681.3.062 CAS
B14539,Steels (L),Progress in Aritificial Intelligence,"Ellwis Horwood Limited, England",1985.0,0853128308,TLC-R-13-S-205,Programming Language,681.3.062 STE
B18736,Nagpal (DP),Questions and Answers in Computer Science 'O' level,"Wheeler Publishing , New Delhi",1999.0,8175441658,TLC-R-13-S-205,Programming Language,681.3.062 NAG
B20029,Tamres louis,Introducing Software Testing,"Pearson Education, Delhi",2002.0,8178086786,TLC-R-13-S-205,Programming Language,681.3.062 TAM
B16422,Norton (P),Peter Norton's Assembly Language Book for the IBM PC revised and expanded,"Prentice Hall of India Pvt Ltd, New Delhi",1993.0,0876927479,TLC-R-13-S-205,Programming Language,681.3.062 NOR
B21935,Beggs (RW),Mastering kali LINUX for advanced Penetration Testing,"PACKT Publishing , Mumbai",2014.0,9781782163121,TLC-R-13-S-205,Programming Language,681.3.062 BEG
B22015,Christofferson (J),"Estimating ith Microsoft Excel, Unlocking the power fo Home Builders","NAHB Builder Books, Washington DC",2010.0,9780867186475,TLC-R-13-S-205,Programming Language,681.3.062 CHR
B15041,Kishore (S),What Every Manager Should know about computers,"Tata McGraw- Hill Publishing Company, New Delhi",1990.0,,TLC-R-13-S-205,Programming Language,681.3.062 KIS
B16995,Hutchson (RC),Prog using the C language,BEL,1995.0,,TLC-R-13-S-205,Programming Language,681.3.062 HUT
B8562,Levanthal (LA),6800 Assembly Language Programming,"Osborne & Associates, Inc, California",1978.0,,TLC-R-13-S-205,Programming Language,681.3.062 LEV
B21905,AHO (AV),Principles of Compier Design,"Narosa Publishing House , New Delhi",1989.0,9788185015613,TLC-R-13-S-205,Programming Language,681.3.062 AHO
B18276-DUP2,Ray (W),10 Minute Guide to UNIX,"Prentice Hall of India Pvt Ltd, New Delhi",1999.0,8120315502,TLC-R-13-S-205,Programming Language,681.3.062 RAY
B18078,Serper (M),"Maastering ORACLE 6.0 PRO*C PL/SQL, SQL Forms 3.0","BPB publications, New Delhi",1993.0,8170292360,TLC-R-13-S-205,Programming Language,681.3.062 SER
B12292,Everest (GC),"Database Management, Objectives , System Functions and administration","Mcgraw Hill company, New York",1986.0,0070197814,TLC-R-13-S-205,Programming Language,681.3.062 EVE
B13422,Murray III (WH),"80386/80286, Assembly language programming","McGraw Hill, California",1986.0,0078812178,TLC-R-13-S-205,Programming Language,681.3.062 PAP
B11986,Naiman (A),Introduction to Wordstar- second edition,"BPB publications, New Delhi",1995.0,,TLC-R-13-S-205,Programming Language,681.3.062 NAI
AUTO-00203,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B17478,Tanenbaum (AS),Operating Systems : Design and Implementation,"Prentice Hall of India Pvt Ltd, New Delhi",1994.0,8120306015,TLC-R-13-S-206,Operating System,681.3.066 TAN
B20224,Anderson (D),"PCI System Architecture, Fourth Edition","Pearson education, Delhi",1999.0,813170100X,TLC-R-13-S-206,Operating System,681.3.066 AND
B21079,Penumuchu (CV),"Simple Real-time Operating System, Akernel inside view for a beginner","Trafford Publishing, USA",2007.0,9781425117825,TLC-R-13-S-206,Operating System,681.3.066 PEN
B22420,Bahadure (NB),Microprocessors,"PHI learning pvt Ltd, New Delhi",2010.0,9788120339422,TLC-R-13-S-206,Operating System,681.3.066 BAH
B12996,Duncan (R),Advanced MS DOS programming,"Microsoft Press, Washington",1986.0,0914845772,TLC-R-13-S-206,Operating System,681.3.066 DUN
B15524,Deitel (HM),An Introduction to Operating Systems,"Addison Wesley Publishing company, Massachusetts",1990.0,0201509393,TLC-R-13-S-206,Operating System,681.3.066 DEI
B17310,Silberschatz (A),Operating System Concepts,"Addison Wesley Publishing company, Massachusetts",1995.0,0201504804,TLC-R-13-S-206,Operating System,681.3.066 SIL
B14745,Bach (MJ),The Design of the UNIX operating System,BEL,,,TLC-R-13-S-206,Operating System,681.3.066 BAC
B17266,Dhamdhere (DM),System Programming and Operating System,"Tata McGraw- Hill Publishing Company, New Delhi",1993.0,0074600885,TLC-R-13-S-206,Operating System,681.3.066 DHA
B18714,Silberschatz (A),Operating System Concepts,"Addison Wesley Publishing company, Massachusetts",1999.0,0201352516,TLC-R-13-S-206,Operating System,681.3.066 SIL
B17509,Goodheart (B),The Magic Garden explained,"Prentice Hall , New York",1994.0,0130981389,TLC-R-13-S-206,Operating System,681.3.066 BER
B10227,Christitan (K),The UNIX operating System,"John Wiley & Sons, New York",1983.0,0471875422,TLC-R-13-S-206,Operating System,681.3.066 CHR
B17629,Azam (M),UNIX in Easy steps,"New Age International (P) Limited, New Delhi",1996.0,8122405525,TLC-R-13-S-206,Operating System,681.3.066 AZA
B18991,Muster (J),UNIX Power Utilities for Power Users,"BPB publications, New Delhi",1989.0,,TLC-R-13-S-206,Operating System,681.3.066 MUS
B17311,Bach (MJ),The Design of the UNIX operating System,"Prentice Hall of India Pvt Ltd, New Delhi",1995.0,8120305167,TLC-R-13-S-206,Operating System,681.3.066 BAC
B18277,Beveridge (J),"Multithreading Applications, The complete guide to Threads","Addison Wesley Publishing company, Massachusetts",1997.0,0201442345,TLC-R-13-S-206,Operating System,681.3.066 BEV
B12854,Madnick (SE),Operating Systems,"McGraw Hill book company, Singapore",1978.0,0070394555,TLC-R-13-S-206,Operating System,681.3.066 MAD
B10123,Madnick (SE),Operating Systems,"McGraw Hill book company, Singapore",1974.0,0070394555,TLC-R-13-S-206,Operating System,681.3.066 MAD
B6453,Donovan (J),Systems programming,,,,TLC-R-13-S-206,Operating System,681.3.066 DON
B10102,Davis (W S),"Operating systems, A Systematic View","Addison Wesley Publishing company, Massachusetts",1983.0,0201111160,TLC-R-13-S-206,Operating System,681.3.066 DAV
B15516,Peterson (JL),Operating System Concepts,"Addison Wesley Publishing company, Massachusetts",1983.0,0201509679,TLC-R-13-S-206,Operating System,681.3.066 PET
B21959,Wang (SP),Computer Architecture and Security,"Wiley & Sons, Singapore",2013.0,9781118168813,TLC-R-13-S-206,Operating System,681.3.066 WAN
AUTO-00204,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B22325,Venkateshwaran (S),Essential Linux Device Drivers,"Pearson education, Delhi",2009.0,9788131726174,TLC-R-13-S-207,Operating System,681.3.066 VEN
B18923,Rector (R),8086 Book incldes the 8088,,,,TLC-R-13-S-207,Operating System,681.3.066 REC
B13307,Angermeyer (J),Tricks of the MS DOS Masters,"the Waite Group Inc, USA",1987.0,0672225255,TLC-R-13-S-207,Operating System,681.3.066 ANG
B20261,Labrosse (JJ),MicroC/OS-II,"CMP books, New York",2006.0,1578201039,TLC-R-13-S-207,Operating System,681.3.066 LAB
B19163,Mori (MT),"The PCMCIA Developers' Guide , Third Edition","Sycard Technology, CA",1994.0,0964034220,TLC-R-13-S-207,Operating System,681.3.066 MOR
B18283,Born (G),Inside the Registry for Micrsoft Windows 95,"Microsoft Press,",1997.0,1572314249,TLC-R-13-S-207,Operating System,681.3.066 BOR
B20222,Hawng (K),Advanced Computer Architecture,"Tata McGraw- Hill Publishing Company, New Delhi",2000.0,0070316228,TLC-R-13-S-207,Operating System,681.3.066 HWA
B14744,Tanenbaum (AS),Operating systems,"Prentice Hall of India Pvt Ltd, New Delhi",1987.0,0876926014,TLC-R-13-S-207,Operating System,681.3.066 TAN
B18820,Sutton (SA),Windows NT Security Guide,"Addison Wesley Publishing company, Massachusetts",1996.0,0201419696,TLC-R-13-S-207,Operating System,681.3.066 SUT
B22403,Furber (S),ARM System on chip Architecture,"Pearson education, Chennai",2016.0,9789332555570,TLC-R-13-S-207,Operating System,681.3.066 FUR
B18987,Shafer (D),Using ORACLE with Hypercard,"Hayden Books, USA",1990.0,0672484439,TLC-R-13-S-207,Operating System,681.3.066 SHA
B18345,Borland (R),Introducing Microsoft Windows 98,"Micrsosoft corporation , Washington",1997.0,1572316306,TLC-R-13-S-207,Operating System,681.3.066 BOR
B18963,Johnson (EF),X window Applicatgions Programming,Tech Publications,1989.0,9813091827,TLC-R-13-S-207,Operating System,681.3.066 JOH
B20004,Tapadiya (P),"COM+Programming, A practical Guide using Visual C++ and ATL","Prentice Hall, New Jersey",2001.0,0130886742,TLC-R-13-S-207,Operating System,681.3.066 TAP
B12851,Norton (P),Peter Norton's DOS Guide Revised and Expanded,"A Brady Book , New York",1987.0,0136620736,TLC-R-13-S-207,Operating System,681.3.066 NOR
B18283-DUP2,Born (G),Inside the Registry for Microsoft windows 95,"Micrsoft Press , Washington",1997.0,1572314249,TLC-R-13-S-214,Computer Network,681.324 BOR
AUTO-00205,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B19521,Bethune (JD),Engineering Graphics with AutoCAD 2002,"Prentice Hall of India Pvt Ltd, New Delhi",2002.0,8120321383,TLC-R-13-S-208,Computer Graphic,681.6 BET
B13903,Reghbati (HK),Computer Graphocs Hardware Image Generation and Display,"Computer Society Press, Washington DC",,081860753X,TLC-R-13-S-208,Computer Graphic,681.6 REG
B15409-DUP2,Luzadder (WJ),Fundamentals of Engineering Drawing - Ninth Edition,"Prentice Hall of India Pvt Ltd, New Delhi",1986.0,0876925484,TLC-R-13-S-208,Computer Graphic,681.6 LUZ
B22618,Few (S),"Information Dashboard Design, Displaying data for at- a glance monitoring","Analytics Press, China",2013.0,9781938377006,TLC-R-13-S-208,Computer Graphic,681.6 FEW
B13407,Lewell (J),Computer Graphics a survey of current techniques and applications,"VAN Nostrand REINHOLD Company, New York",1985.0,0442260458,TLC-R-13-S-208,Computer Graphic,681.6 LEW
B7111,Rogers (DF),Mathematical Elements for Computer Graphics,"McGraw Hill Book company, New York",1976.0,0070535272,TLC-R-13-S-208,Computer Graphic,681.6 ROG
B11814,Kunii (TL),Computer Graphics Viusal Technology and Art,"Springer - Verlag, New York",1985.0,0387700099,TLC-R-13-S-208,Computer Graphic,681.6 KUN
B21124,Richardson (I.E),The H.264 Advanced video compression standard,John Wiley & Sons,2010.0,9780470516928,TLC-R-13-S-208,Computer Graphic,681.6 RIC
B14482,Earnshaw (RA),New Advances in computer graphics proceedings of CG international 89,"Springer - Verlag, New York",1989.0,0387700455,TLC-R-13-S-208,Computer Graphic,681.6 EAR
B13827,Stockford (J),Desktop Publishing Bible,"Howard W.Sams and company, USA",1988.0,0672225247,TLC-R-13-S-208,Computer Graphic,681.6 STO
B20860,Horton (W),Fundamentals of SONAR,"Naval Institute, USA",,,TLC-R-13-S-208,Computer Graphic,681.6 HOR
B17644,Radhakrishnan (P),CAD/CAM/CIM,"New Age International (P) ltd, New Delhi",1994.0,8122406505,TLC-R-13-S-208,Computer Graphic,681.6 RAD
B12090,Enderle (G),Computer Graphics Programming,"Springer - Verlag, New York",1984.0,3540163174,TLC-R-13-S-208,Computer Graphic,681.6 KAN
B19986,Gray (K),Microsoft Directx 9 Programmable Graphics pipeline,"Microsoft Press, Washington",2003.0,0735616531,TLC-R-13-S-208,Computer Graphic,681.6 GRA
B14034,Adams (L),Supercharged Graphics,"Windcrest Books, USA",1988.0,0830629599,TLC-R-13-S-208,Computer Graphic,681.6 ADA
B15295,Lubow (M),Inside Xerox Presents,"New Riders Publishing, California",1952.0,0934035660,TLC-R-13-S-208,Computer Graphic,681.6 LUB
B13358,Budynas (RG),Interactive Graphics in CAD,"Hermes Publishing , France",1983.0,0850387981,TLC-R-13-S-208,Computer Graphic,681.6 LUC
B17562,Hearn (\D),Computer Graphics second edition,"Prentice Hall of India Pvt Ltd, New Delhi",1996.0,8120309448,TLC-R-13-S-208,Computer Graphic,681.6 HEA
B14152,Nace (T),Laserjet unlimited -Edition - II,"Microtech Publications, Dubai",1989.0,,TLC-R-13-S-208,Computer Graphic,681.6 NAC
B11168,Lange (JC),Design Dimensioning with Computer Graphics Applications,Lange JC,1984.0,0824771192,TLC-R-13-S-208,Computer Graphic,681.6 LAN
B10934,Ryan (DL),Computer Aided Graphics and Design,Dekker M,1985.0,0824773055,TLC-R-13-S-208,Computer Graphic,681.6 RYA
B21831,Weygant (PS),Clusters for High Availability,"Prentice Hall, New Jersey",2001.0,0130893552,TLC-R-13-S-208,Computer Graphic,681.6 WEY
B18926,Harrington (S),Computer Graphics A programming Approach- second edition,"McGraw Hill Book company, New York",1987.0,0070267537,TLC-R-13-S-208,Computer Graphic,681.6 HAR
B13326,Berger (M),Computer Graphics with Pascal,"The Benjamin/Cummings Publishing Company Inc, California",1986.0,0805307907,TLC-R-13-S-208,Computer Graphic,681.6 BER
B15200,Rich (E),Artificial Intelligence- Second edition,"Tata McGraw Hill Publishing Company, New Delhi",1991.0,0070522634,TLC-R-13-S-208,Computer Graphic,681.6 RIC
B7112,Newman (WM),Principles of Interactive Computer Graphics,"McGraw Hill Book company, Tokyo",1973.0,007463379,TLC-R-13-S-208,Computer Graphic,681.6 NEW
AUTO-00206,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B13789,Huck (JC),Analyzing Computer Architectures,"IEEE Computer Society Press, Washington",1989.0,0818688572,TLC-R-13-S-209,Computer Digital,681.32 HUC
B17526,Palmer (JE),Schaums Outline of Theory and Problems of Introduction to Digital Systems,"McGraw Hill Inc, New York",1993.0,0070484392,TLC-R-13-S-209,Computer Digital,681.32 PAL
B19932,Lehtinen (B),Analog -Digital -Digital Analog converter for a digital control,,,,TLC-R-13-S-209,Computer Digital,681.32 LET
B13333,Capron (HL),Computers Tools for an Information age,"The Benjamin/Cummings Publishing Company Inc, California",1987.0,0805322493,TLC-R-13-S-209,Computer Digital,681.32 CAP
B13459,Sanders (D),Computers Today,McGraw Hill Book Company,1988.0,0070548544,TLC-R-13-S-209,Computer Digital,681.32 SAN
B19254,Chauman (S),PC upgrading Mainte & Trouble,"S.K Kataria & Sons, Delhi",1999.0,,TLC-R-13-S-209,Computer Digital,681.32 CHA
B11027,Bartee (TC),Digital Computer Fundamentals -Sixth Edition,"McGraw Hill, New york",1985.0,0070038996,TLC-R-13-S-209,Computer Digital,681.32 BAR
B14598-DUP2,Bertoline (GR),Fundamentals of CAD,Delmar Publishers Inc,1988.0,0827332920,TLC-R-13-S-209,Computer Digital,681.32 BER
B18388,Baert (L),Digital Audio and Compact Disc Technology,Sony Service Centre,1988.0,0240513975,TLC-R-13-S-209,Computer Digital,681.32 BAE
B18972,Norton (P),The IBM PC & PS/2,"Microsoft Press, Washington",1985.0,,TLC-R-13-S-209,Computer Digital,681.32 NOR
B11112,Winston (PH),Artificial Intelligence- Second edition,,1981.0,0201082594,TLC-R-13-S-209,Computer Digital,681.32 WIN
B11880,MCGLYINN,IBM PC AT user's Reference Manual,"Hayden Book Company, New Jersey",1985.0,0810463946,TLC-R-13-S-209,Computer Digital,681.32 MCG
B18918,Schildt (H),Using the Models 50 and 60,"McGraw Hill Berkeley, California",1988.0,0078813085,TLC-R-13-S-209,Computer Digital,681.32 SCH
B20910,Fadali (MS),Digital Control Engineering Analysis and Design,"Elseiver , Haryana",2009.0,9788131222508,TLC-R-13-S-209,Computer Digital,681.32 FAD
B13315,Bernhardt (EC),Computer Aided Engineering for Injection Molding,"Hanser Publishers, Munich , New york",1983.0,0029485908,TLC-R-13-S-209,Computer Digital,681.32 BER
B14101,Dayton (RL),Guide to Integrating Digital Services,"McGraw Hill Book Company, New York",1989.0,0070161887,TLC-R-13-S-209,Computer Digital,681.32 DAY
B21097,Smith (SW),Trusted Computing platforms: Design and Applications,"Springer, New york",2005.0,0387239162,TLC-R-13-S-209,Computer Digital,681.32 SMI
B17486,Mano (MM),Computer System Architecture,"Prentice Hall of India, New Delhi",1997.0,8120308557,TLC-R-13-S-209,Computer Digital,681.32 MAN
B17275,Malvino (AP),Digital computer Electronics,"Tata McGraw- Hill pubishing company limited, New Delhi",1995.0,0074622358,TLC-R-13-S-209,Computer Digital,681.32 MAL
B13365,Goetsch (DL),MicroCADD computer - aided Design and Drafting on Microcomputers,"Prentice Hall , New Jersey",1988.0,0135819504,TLC-R-13-S-209,Computer Digital,681.32 GOE
B22656,Mano (MM),Digital Logic and Computer design,"Prentice Hall of India, New Delhi",1979.0,8120304179,TLC-R-13-S-209,Computer Digital,681.32 MAN
B13134,LIU (Y),Micrcomputer systems,"Prentice Hall of India, New Delhi",1997.0,8120304098,TLC-R-13-S-209,Computer Digital,681.32 LIU
B21603,Axelson (J),"USB complete, The Developers Guide - Fourth Edition",Penram International Publishing (IND) Pvt Ltd,2011.0,9788187972822,TLC-R-13-S-209,Computer Digital,681.32 AXE
B17519,Ramamurti (V),Computer Aided Mechanical Design and analysis,"Tata McGraw- Hill pubishing company limited, New Delhi",1992.0,,TLC-R-13-S-209,Computer Digital,681.32 RAM
B13689,Witten (IH),Principles of Computer Speech,"Academic Press Inc, London",1982.0,0127607609,TLC-R-13-S-209,Computer Digital,681.32 WIT
B14028,Odawara (G),CAD systems using AI Techniques,"North Hollan , New york",1989.0,0444883193,TLC-R-13-S-209,Computer Digital,681.32 ODA
B9959,Faux (ID),Computational Geometry for design and manufacture,"John Wiley & Sons, New york",1979.0,0853121141,TLC-R-13-S-209,Computer Digital,681.32 FAU
B5122,Schmid (H),Electronic Analog/Digital Conversions,VAN NOSTRAND REINHOLD COMPANY,1970.0,,TLC-R-13-S-209,Computer Digital,681.32 SCH
B9817,Hutchison (D),Fundamentals of Computer Logic,"Ellis Horwood Limited, England",1981.0,085312258X,TLC-R-13-S-209,Computer Digital,681.32 HUT
B5930,Richards (RK),Digital Design,"Wiley Interscience, New york",1971.0,0471719455,TLC-R-13-S-209,Computer Digital,681.32 RIC
B18397,Booch (G),Object- Oriented Analysis and Design with applications,"Addison Wesley Publishing , CA",1994.0,0201352222,TLC-R-13-S-209,Computer Digital,681.32 BOO
B6455,Stagg (GW),Computer Methods in Power System Analysis,"McGraw Hill Book Company, New York",1968.0,,TLC-R-13-S-209,Computer Digital,681.32 STA
B1577,Hoeschele (DF),Analog -Digital -Digital Analog conversion Techniques,"John Wiley & Sons, New york",1968.0,,TLC-R-13-S-209,Computer Digital,681.32 HOE
B20126,Tickoo (S),Understanding AutoCAD 2006 : A Beginner's Guide,"Dreamtech Press, New Delhi",2005.0,,TLC-R-13-S-209,Computer Digital,681.32 TIC
AUTO-00207,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B12108,CHU W.W,Advances in Computer Communications and Networking,"Artech House, Massachusetts",1979.0,0890060495,TLC-R-13-S-210,Computer Digital,681.32 CHU
B13967,Timelife,The Human Body,Time life Books Alexandria,,,TLC-R-13-S-210,Computer Digital,681.32 TIM
B11686,Timelife,Artificial Intelligence,Time life Books Alexandria,,,TLC-R-13-S-210,Computer Digital,681.32 TIM
B13908,Timelife,The Chipmakers,Time life Books Alexandria,,,TLC-R-13-S-210,Computer Digital,681.32 TIM
B13536,Timelife,Understanding Computers communications,Time life Books Alexandria,,,TLC-R-13-S-210,Computer Digital,681.32 TIM
B11610,Timelife,Understanding Computers Computer Images,Time life Books Alexandria,,,TLC-R-13-S-210,Computer Digital,681.32 TIM
B7358,AHL. (D.H),The Best of creative computing Vol- 2,"Creative Computing Press Dept, New Jersey",,0916688038,TLC-R-13-S-210,Computer Digital,681.32 AHL
